asu	qq	cc
82963487	123	123
36413762	123	123
98723237	123	123
47379050	123	123
31395490	123	123
32600452	123	123
53890037	123	123
23197385	123	123
11674518	123	123
34222761	123	123
35172236	123	123
71725446	123	123
74589314	123	123
50863398	123	123
98452682	123	123
96356558	123	123
96862766	123	123
71818314	123	123
81621484	123	123
99889010	123	123
43343329	123	123
19814390	123	123
39923278	123	123
91199416	123	123
82006045	123	123
36651911	123	123
19826446	123	123
25478789	123	123
75455837	123	123
15970901	123	123
76765782	123	123
3070868	123	123
30688684	123	123
3758603	123	123
96731238	123	123
13076433	123	123
19716344	123	123
58942719	123	123
31629557	123	123
25503388	123	123
95693626	123	123
73163474	123	123
59730921	123	123
32944238	123	123
8574153	123	123
54628129	123	123
14652336	123	123
84326904	123	123
80648726	123	123
56668124	123	123
85179808	123	123
66079888	123	123
3060100	123	123
70992390	123	123
9191907	123	123
47928605	123	123
59628170	123	123
19136707	123	123
42625017	123	123
71196799	123	123
61914904	123	123
81704034	123	123
70508426	123	123
98656916	123	123
60570775	123	123
3735035	123	123
16501247	123	123
27138469	123	123
85175723	123	123
40139461	123	123
89829177	123	123
22859110	123	123
87855788	123	123
15833404	123	123
36049402	123	123
57092199	123	123
38469989	123	123
45287448	123	123
51253638	123	123
77920820	123	123
7911440	123	123
42079145	123	123
80052534	123	123
21496019	123	123
18491912	123	123
16526164	123	123
59022355	123	123
8768954	123	123
59056135	123	123
9162537	123	123
29855988	123	123
83697639	123	123
86210887	123	123
40881981	123	123
23772150	123	123
46767549	123	123
30611683	123	123
14384655	123	123
30161581	123	123
61682463	123	123
83984446	123	123
90031517	123	123
87687287	123	123
13661597	123	123
92739255	123	123
62901603	123	123
76594993	123	123
50904175	123	123
19040617	123	123
27545714	123	123
72037655	123	123
31381578	123	123
56470271	123	123
45402085	123	123
66435831	123	123
27497830	123	123
99387566	123	123
2985919	123	123
54002207	123	123
56159164	123	123
37841485	123	123
44069489	123	123
80476957	123	123
24001951	123	123
58191572	123	123
1313900	123	123
74332494	123	123
38002410	123	123
36072637	123	123
82092376	123	123
33320683	123	123
70896101	123	123
66892610	123	123
16960136	123	123
11680702	123	123
10145005	123	123
66497530	123	123
94781449	123	123
67887263	123	123
12568694	123	123
47953509	123	123
93562209	123	123
79657843	123	123
30339756	123	123
3248933	123	123
65730024	123	123
89121414	123	123
19182306	123	123
209737	123	123
29165807	123	123
98424053	123	123
12156018	123	123
32480582	123	123
62441590	123	123
20648036	123	123
47275772	123	123
54368825	123	123
7601745	123	123
7043778	123	123
57145972	123	123
37107729	123	123
24211611	123	123
89835999	123	123
93158006	123	123
91779611	123	123
22648649	123	123
18911792	123	123
90746630	123	123
25718759	123	123
14264396	123	123
50602458	123	123
51117349	123	123
83178441	123	123
95809402	123	123
44334259	123	123
45828545	123	123
76474449	123	123
30988873	123	123
49975828	123	123
25903054	123	123
72995099	123	123
64995339	123	123
29046690	123	123
29333533	123	123
47076695	123	123
84852968	123	123
33533134	123	123
7401417	123	123
9553418	123	123
39052200	123	123
36845559	123	123
73369429	123	123
45158048	123	123
569898	123	123
65353813	123	123
58905993	123	123
18975814	123	123
33088951	123	123
38639644	123	123
42485541	123	123
45685272	123	123
56993582	123	123
97752069	123	123
34916572	123	123
1110167	123	123
31279868	123	123
36897786	123	123
93382063	123	123
31686877	123	123
24865806	123	123
18923086	123	123
94455092	123	123
89885020	123	123
96966468	123	123
64909870	123	123
27514073	123	123
55900038	123	123
3298619	123	123
33268778	123	123
26345885	123	123
96027801	123	123
99542919	123	123
29794841	123	123
49969820	123	123
82191395	123	123
18306933	123	123
74180920	123	123
37178768	123	123
35151565	123	123
25363472	123	123
41473499	123	123
12282310	123	123
97891770	123	123
40748383	123	123
9774443	123	123
18151955	123	123
82256072	123	123
57234856	123	123
98340784	123	123
93383475	123	123
58339945	123	123
73064303	123	123
61884371	123	123
46564714	123	123
46966946	123	123
84301515	123	123
16684407	123	123
4571809	123	123
56589045	123	123
14716430	123	123
23353855	123	123
43830147	123	123
63446981	123	123
41256275	123	123
31464559	123	123
91032159	123	123
90368086	123	123
89749965	123	123
31971206	123	123
76920327	123	123
79652602	123	123
49762081	123	123
60836964	123	123
